127.0.0.1, 2018-07-03 12:12:32, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-07-03 12:12:42, GET, /pluralsight/basics/request_args/3/2, HTTP/1.1, 404, 0.092000
127.0.0.1, 2018-07-03 12:12:42, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-07-03 12:13:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.134000
127.0.0.1, 2018-07-03 12:13:04, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.387000
127.0.0.1, 2018-07-03 12:13:05, GET, /pluralsight/basics/request_args/3/23, HTTP/1.1, 404, 0.081000
127.0.0.1, 2018-07-03 12:13:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-07-03 12:13:40, POST, /admin/default/edit/pluralsight/views/basics/requests_args.html, HTTP/1.1, 200, 0.060000
127.0.0.1, 2018-07-03 12:13:59, GET, /pluralsight/basics/request_args/3/23, HTTP/1.1, 404, 0.078000
127.0.0.1, 2018-07-03 12:13:59, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-07-03 12:14:04, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.733000
127.0.0.1, 2018-07-03 12:14:05, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.552000
127.0.0.1, 2018-07-03 12:14:05, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-07-03 12:14:05, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.759000
127.0.0.1, 2018-07-03 12:14:21, GET, /admin/default/edit/pluralsight/views/basics/requests_args.html, HTTP/1.1, 200, 0.076000
127.0.0.1, 2018-07-03 12:14:21, GET, /favicon.ico, HTTP/1.1, 400, 0.008000
127.0.0.1, 2018-07-03 12:14:22, GET, /admin/default/edit/pluralsight/views/basics/requests_args.html, HTTP/1.1, 200, 0.204000
127.0.0.1, 2018-07-03 12:14:22, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.264000
